Genus	Species	1C (pg)	Original Reference	Paper
Artemisia	absinthium	3.65	Nagl and Ehrendorfer, 1974 (Ref. 32)	1976
Prunus	laurocerasus	3.65	Zonneveld et al., 2005 (Ref. 466)	2005b
Festuca	calva	3.65	Smarda et al., 2008 (Ref. 555)	2011
Paradisea	liliastrum	3.67	Zonneveld et al., 2005 (Ref. 466)	2005b
Agave	filifera	3.68	Banerjee and Sharma, 1987 (Ref. 222)	1995
Hieracium	piloselloides	3.68	Bräutigam and Bräutigam, 1996 (Ref. 352)	2000
Echinops	tournefortii	3.68	Garnatje et al., 2004 (Ref. 502)	2011
Knautia	arvensis	3.69	Temsch and Greilhuber, 2010 (Ref. 652)	2012
Echinops	szowitsii	3.69	Garnatje et al., 2004 (Ref. 502)	2011
Kydia	calycina	3.70	Ohri and Kumar, 1986 (Ref. 185)	1995
Brassia	maculata	3.70	Albert et al., 1992 (Ref. 198)	1995
Commelina	africana	3.70	Lewis and Kenton, 1989 (Ref. 269-E)	1995
Ada	ocanensis	3.70	Hanson et al., 1999 (Ref. 377)	2000
Rhynchostele	cervantesii	3.70	Hanson et al., 1999 (Ref. 377)	2000
Lachenalia	hybrid	3.70	Zonneveld et al., 2005 (Ref. 466)	2005b
Senecio	nyikensis	3.70	Zonneveld et al., 2005 (Ref. 466)	2005b
Victoria	yamasu	3.70	Diao et al., 2006 (Ref. 626)	2012
Echinops	spinosissimus	3.71	Garnatje et al., 2004 (Ref. 502)	2011
Festuca	balcanica	3.71	Smarda et al., 2008 (Ref. 555)	2011
Austrofestuca	littoralis	3.71	Murray et al., 2005 (Ref. 528)	2011
Capsicum	baccatum	3.71	Moscone et al., 2003 (Ref. 481)	2011
Chouardia	lakusicii	3.72	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Bougainvillea	x glabra-peruviana	3.73	Ohri and Khoshoo, 1982 (Ref. 134)	1991
Tephrosia	pumila	3.73	Raina et al., 1986 (Ref. 183)	1995
Gentiana	tibetica	3.73	Mikula et al., 2008 (Ref. 488)	2011
Anthurium	wendlingeri	3.73	Bliss & Suzuki, 2012 (Ref. 673)	2012
Knautia	drymeia	3.73	Temsch and Greilhuber, 2010 (Ref. 652)	2012
Hieracium	schultesii	3.73	Suda et al., 2007 (Ref. 569)	2011
Tricyrtis	macranthopsis	3.73	Vesely et al., 2011 (Ref. 675)	2012
Hieracium	tomentosum	3.74	Chrtek et al., 2009 (Ref. 641)	2012
Echinops	exaltatus	3.75	Garnatje et al., 2004 (Ref. 502)	2011
Nicotiana	thyrsiflora	3.75	Narayan, 1987 (Ref. 199)	1995
Hypochaeris	maculata	3.75	Cerbah et al., 1995 (Ref. 280)	1997
Anthemis	tinctoria	3.75	Nagl and Ehrendorfer, 1974 (Ref. 32)	1976
Cortaderia	argentea	3.75	Zonneveld et al., 2005 (Ref. 466)	2005b
Drimiopsis	maculata	3.75	Zonneveld et al., 2005 (Ref. 466)	2005b
Gentiana	dinarica	3.75	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Agave	tequilana	3.75	Robert et al., 2008 (Ref. 680)	2012
Hieracium	piloselliflorum	3.77	Suda et al., 2007 (Ref. 569)	2011
Hieracium	intybaceum	3.77	Chrtek et al., 2009 (Ref. 641)	2012
Ramonda	serbica	3.77	Siljak-Yakovlev et al., 2008 (Ref. 669)	2012
Echinops	ruthenicus	3.77	Garnatje et al., 2004 (Ref. 502)	2011
Amorphophallus	prainii	3.78	Chauhan and Brandham, 1985 (Ref. 161)	1991
Aerides	odorata	3.78	Narayan et al., 1989 (Ref. 250)	1995
Ranunculus	affinis	3.78	Goepfert, 1974 (Ref. 44)	1976
Paradisea	lusitanica	3.78	Zonneveld et al., 2005 (Ref. 466)	2005b
Sesleria	latifolia	3.78	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Chionochloa	flavicans	3.79	Murray et al., 2005 (Ref. 528)	2011
Viburnum	bitchiuense	3.80	Olszewska and Osiecka, 1984 (Ref. 157)	1991
Miltonia	clowesii	3.80	Hanson et al., 1999 (Ref. 377)	2000
Scilla	albescens	3.80	Greilhuber, 1979 (Ref. 89)	1982
Furcraea	selloa	3.80	Zonneveld et al., 2005 (Ref. 466)	2005b
Agave	portoricensis	3.80	Zonneveld et al., 2005 (Ref. 466)	2005b
Opuntia	acaulis	3.80	Negron-Ortiz, 2007 (Ref. 557)	2011
Hesperis	matronalis	3.80	Kubesová et al., 2010 (Ref. 630)	2012
Simethis	mattiazzii	3.80	Vesely et al., 2011 (Ref. 675)	2012
Halimium	calycinum	3.81	Boscaiu et al., 2008 (Ref. 567)	2011
Agave	H11648	3.81	Robert et al., 2008 (Ref. 680)	2012
Festuca	paniculata	3.82	Smarda et al., 2008 (Ref. 555)	2011
Pimpinella	saxifraga	3.82	Temsch et al., 2010 (Ref. 627)	2012
Saccharum	robustum	3.83	Bennett and Smith, 1976 (Ref. 2)	1976
Helcia	sanguinolenta	3.83	Hanson et al., 1999 (Ref. 377)	2000
Sorghum	plumosum	3.83	Price et al., 2005 (Ref. 511)	2011
Consolea	millspaughii	3.84	Negron-Ortiz, 2007 (Ref. 557)	2011
Doronicum	hungaricum	3.84	Vesely et al., 2011 (Ref. 675)	2012
Artemisia	lucentica	3.84	Torrell and Valles, 2001 (Ref. 386)	2005a
Echinops	orientalis	3.84	Garnatje et al., 2004 (Ref. 502)	2011
Consolea	falcata	3.84	Negron-Ortiz, 2007 (Ref. 557)	2011
Ileostylus	micranthus	3.85	Martin., 1983 (Ref. 109)	1991
Oxalis	sellowii	3.85	De Azkue and Martínez, 1988 (Ref. 172)	1995
Ceroxylon	sp.	3.85	Röser et al., 1997 (Ref. 271)	1997
Ulex	europaeus	3.85	Misset and Gourret, 1996 (Ref. 284)	1997
Adansonia	digitata	3.85	Ohri, 1996 (Ref. 301)	1997
Agave	hartmannii	3.85	Zonneveld et al., 2005 (Ref. 466)	2005b
Agave	parviflora	3.85	Zonneveld, 2003 (Ref. 482)	2011
Consolea	rubescens	3.85	Negron-Ortiz, 2007 (Ref. 557)	2011
Cortaderia	splendens	3.86	Murray et al., 2005 (Ref. 528)	2011
Echinops	sphaerocephalus	3.86	Garnatje et al., 2004 (Ref. 502)	2011
Lonicera	vesicaria	3.88	Olszewska and Osiecka, 1984 (Ref. 157)	1991
Ammophila	arenaria	3.88	Bennett and Smith, 1987 (Ref. 164)	1995
Sisyrinchium	montanum	3.88	Kenton et al., 1986 (Ref. 177)	1995
Tripsacum	dactyloides	3.88	Arumuganathan and Earle, 1991 (Ref. 227)	1995
Daucus	crinitus	3.88	Owens, 1974 (Ref. 25)	1976
Tigridia	alpestris	3.88	Kenton, 1988 (Ref. 269-C)	1995
Thryallis	angustifolia	3.89	Ohri et al., 2004 (Ref. 501)	2011
Hieracium	pilosella	3.89	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Dracunculus	canariensis	3.89	Zonneveld et al., 2005 (Ref. 466)	2005b
Rhynchostele	cordata	3.90	Hanson et al., 1999 (Ref. 377)	2000
Scilla	nivalis	3.90	Greilhuber, 1979 (Ref. 89)	1982
Agave	stricta	3.90	Zonneveld and Van Iren, 2001 (Ref. 384)	2005a
Yucca	whipplei	3.90	Zonneveld et al., 2005 (Ref. 466)	2005b
Crocus	chrysanthus	3.90	Zonneveld et al., 2005 (Ref. 466)	2005b
Agave	utahensis	3.90	Zonneveld, 2003 (Ref. 482)	2011
Hesperoyucca	whipplei	3.90	Zonneveld, 2003 (Ref. 482)	2011
Rumex	thyrsiflorus	3.90	Kubesová et al., 2010 (Ref. 630)	2012
Ramonda	serbica	3.90	Siljak-Yakovlev et al., 2008 (Ref. 669)	2012
Camellia	sinensis	3.90	Hanson et al., 2001 (Ref. 379)	2005a
Hieracium	porrifolium	3.91	Chrtek et al., 2009 (Ref. 641)	2012
Oenocarpus	bataua	3.93	Röser et al., 1997 (Ref. 271)	1997
Tanacetum	vulgare	3.93	Keskitalo et al., 1998 (Ref. 338)	2000
Brassia	verrucosa	3.93	Hanson et al., 1999 (Ref. 377)	2000
Cortaderia	richardii	3.93	Murray et al., 2005 (Ref. 528)	2011
Hieracium	iseranum	3.94	Suda et al., 2007 (Ref. 569)	2011
Milium	effusum	3.95	Bennett and Thomas, 1991 (Ref. 197)	1995
Aponogeton	distachyus	3.95	Baum et al., 1989 (Ref. 269-D)	1995
Hesperaloe	sp.	3.95	Bharathan et al., 1994 (Ref. 272)	1997
Peperomia	longespicata	3.95	Morawetz and Samuel, 1998 (Ref. 341)	2000
Odontoglossum	wyattianum	3.95	Hanson et al., 1999 (Ref. 377)	2000
Festuca	mairei	3.95	Seal, 1979 (Ref. 72)	1982
Hieracium	alpinum	3.95	Chrtek et al., 2009 (Ref. 641)	2012
Hieracium	petrovae	3.95	Chrtek et al., 2009 (Ref. 641)	2012
Hieracium	cymosum	3.96	Suda et al., 2007 (Ref. 569)	2011
Ambrosia	dumosa	3.96	Sliwinska et al., 2009 (Ref. 624)	2012
Crocus	cartwrightianus	3.97	Brandizzi et al., 1996 (Ref. 419)	2005a
Cortaderia	toetoe	3.97	Murray et al., 2005 (Ref. 528)	2011
Pseudoroegneria	libanotica	3.98	Vogel et al., 1999 (Ref. 343)	2000
Campanula	rapunculoides	3.98	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Amphibromus	fluitans	3.99	Murray et al., 2005 (Ref. 528)	2011
Atractylis	preauxiana	3.99	Suda et al., 2005 (Ref. 552)	2011
Tripleurospermum	callosum	3.99	Garcia et al., 2005 (Ref. 525)	2011
Festuca	xanthina	3.99	Smarda et al., 2008 (Ref. 555)	2011
Phelipanche	tunetana	4.00	Weiss-Schneeweiss et al., 2005 (Ref. 531)	2011
Amorphophallus	dubius	4.00	Chauhan and Brandham, 1985 (Ref. 161)	1991
Phalaris	tuberosa	4.00	Kadir, 1974 (Ref. 26)	1976
Pseudoroegneria	stipifolia	4.00	Vogel et al., 1999 (Ref. 343)	2000
Iris	sintenisii	4.00	Zonneveld et al., 2005 (Ref. 466)	2005b
Hesperaloe	parviflora	4.00	Zonneveld et al., 2005 (Ref. 466)	2005b
Agave	mckelveyana	4.00	Zonneveld, 2003 (Ref. 482)	2011
Agave	victoriae-reginae	4.00	Zonneveld, 2003 (Ref. 482)	2011
Colchicum	alpinum	4.03	Fridlender et al., 2002 (Ref. 468)	2011
Rytidosperma	biannulare	4.03	Murray et al., 2005 (Ref. 528)	2011
Dahlia	coccinea	4.04	Temsch et al., 2008 (Ref. 597)	2011
Viburnum	lantana	4.04	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Epipremnum	aureum	4.04	Vesely et al., 2011 (Ref. 675)	2012
Scilla	nervosa	4.05	Chaudhuri et al., 2001 (Ref. 422)	2005a
Senecio	runcinifolius	4.05	Lawrence, 1985 (Ref. 114)	1991
Tradescantia	fluminensis	4.05	Martínez and Ginzo, 1985 (Ref. 181)	1995
Saccharum	officinarum	4.05	Bennett and Smith, 1976 (Ref. 2)	1976
Commelina	obliqua	4.05	Lewis and Kenton, 1989 (Ref. 269-E)	1995
Cattleya	walkeriana	4.05	Jones et al., 1998 (Ref. 307)	2000
Cymbidium	ceres	4.05	Capesius, 1976 (Ref. 78)	1982
Muscari	aucheri	4.05	Zonneveld et al., 2005 (Ref. 466)	2005b
Hypochaeris	uniflora	4.05	Cerbah M et al., 1999 (Ref. 666)	2012
Crepis	bungei	4.05	Enke et al., 2011 (Ref. 670)	2012
Victoria	cruziana	4.06	Diao et al., 2006 (Ref. 626)	2012
Hieracium	rothianum	4.07	Suda et al., 2007 (Ref. 569)	2011
Vicia	elegans	4.08	Raina and Rees, 1983 (Ref. 112)	1991
Bougainvillea	glabra	4.08	Ohri and Khoshoo, 1982 (Ref. 134)	1991
Nicotiana	bonariensis	4.08	Narayan, 1987 (Ref. 199)	1995
Colocasia	esculenta	4.08	Baum et al., 1989 (Ref. 269-D)	1995
Bactris	hondurensis	4.08	Röser et al., 1997 (Ref. 271)	1997
Chamaedorea	cf. woodsoniana	4.08	Röser et al., 1997 (Ref. 271)	1997
Chamaedorea	klotzschiana	4.08	Röser et al., 1997 (Ref. 271)	1997
Hieracium	scandinavicum	4.08	Suda et al., 2007 (Ref. 569)	2011
Puccinellia	palustris	4.08	Dolenc Koce et al., 2008 (Ref. 580)	2011
Valeriana	officinalis	4.08	Hidalgo et al., 2010 (Ref. 638)	2012
Hieracium	sparsum	4.08	Chrtek et al., 2009 (Ref. 641)	2012
Peucedanum	longifolium	4.08	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Piptocalyx	moorei	4.08	Leitch and Hanson, 2002 (Ref. 381)	2005a
Daphne	alpina	4.09	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Artemisia	tridentata	4.09	Torrell and Valles, 2001 (Ref. 386)	2005a
Epimedium	alpinum	4.10	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Tupeia	antarctica	4.10	Martin., 1983 (Ref. 109)	1991
Vicia	incana	4.10	Raina and Rees, 1983 (Ref. 112)	1991
Agave	gigantensis	4.10	Bennett and Smith, 1987 (Ref. 164)	1995
Lepidocaryum	tenue	4.10	Röser et al., 1997 (Ref. 271)	1997
Holcus	mollis	4.10	Marie and Brown, 1993 (Ref. 290)	1997
Ranunculus	allenii	4.10	Goepfert, 1974 (Ref. 44)	1976
Thespesia	populnea	4.10	Wendel et al., 2002 (Ref. 444)	2005a
Senecio	crassissimus	4.10	Zonneveld et al., 2005 (Ref. 466)	2005b
Ornithogalum	maculatum	4.10	Zonneveld et al., 2005 (Ref. 466)	2005b
Hieracium	floribundum	4.10	Suda et al., 2007 (Ref. 569)	2011
Youngia	tenuifolia	4.10	Enke et al., 2011 (Ref. 670)	2012
Hieracium	caespitosum	4.11	Suda et al., 2007 (Ref. 569)	2011
Papaver	nudicaule	4.13	Srivastava and Lavania, 1991 (Ref. 167)	1995
Vicia	dalmatica	4.13	Raina and Bisht, 1988 (Ref. 189)	1995
Vicia	cassubica	4.13	Chooi WY., 1971 (Ref. 21)	1976
Phalaris	arundinacea	4.13	Kadir, 1974 (Ref. 26)	1976
Chouardia	litardierei	4.13	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Tripleurospermum	sevanense	4.13	Garcia et al., 2005 (Ref. 525)	2011
Rytidosperma	petrosum	4.13	Murray et al., 2005 (Ref. 528)	2011
Hieracium	glomeratum	4.13	Suda et al., 2007 (Ref. 569)	2011
Cypripedium	molle	4.14	Hanson et al., 1999 (Ref. 377)	2000
Artemisia	desertorum	4.14	Pellicer et al., 2007 (Ref. 553)	2011
Hieracium	bauhinii	4.14	Suda et al., 2007 (Ref. 569)	2011
Vulpia	ciliata	4.14	Smarda et al., 2008 (Ref. 555)	2011
Echinops	siculus	4.15	Garnatje et al., 2004 (Ref. 502)	2011
Vicia	pyrenaica	4.15	Raina and Rees, 1983 (Ref. 112)	1991
Phleum	pratense	4.15	Band, 1984 (Ref. 154)	1991
Viburnum	opulus	4.15	Band, 1984 (Ref. 154)	1991
Bulbophyllum	reptans	4.15	Narayan et al., 1989 (Ref. 250)	1995
Agave	attenuata	4.15	Zonneveld, 2003 (Ref. 482)	2011
Crepis	paludosa	4.16	Dimitrova and Greilhuber, 2000 (Ref. 394)	2005a
Tripleurospermum	repens	4.16	Garcia et al., 2005 (Ref. 525)	2011
Elodea	canadensis	4.18	Baum et al., 1989 (Ref. 269-D)	1995
Hemiphylacus	alatostylus	4.18	Rudall et al., 1998 (Ref. 317)	2000
Ranunculus	aconitifolius	4.18	Smith and Bennett, 1975 (Ref. 45)	1976
Cortaderia	fulvida	4.18	Murray et al., 2005 (Ref. 528)	2011
Crepis	vesicaria	4.18	Enke et al., 2011 (Ref. 670)	2012
Eriocaulon	aquaticum	4.19	Hanson et al., 2003 (Ref. 380)	2005a
Amorphophallus	paeoniifolius	4.20	Chauhan and Brandham, 1985 (Ref. 161)	1991
Sisyrinchium	alatum	4.20	Kenton et al., 1986 (Ref. 177)	1995
Chamaedorea	cf. oblongata	4.20	Röser et al., 1997 (Ref. 271)	1997
Ranunculus	pedatus	4.20	Goepfert, 1974 (Ref. 44)	1976
Scilla	siehei	4.20	Greilhuber, 1979 (Ref. 89)	1982
Scilla	luciliae	4.20	Greilhuber, 1979 (Ref. 89)	1982
Iris	lacustris	4.20	Zonneveld et al., 2005 (Ref. 466)	2005b
Graptopetalum	bellum	4.20	Zonneveld et al., 2005 (Ref. 466)	2005b
Senecio	macroglossus	4.20	Zonneveld et al., 2005 (Ref. 466)	2005b
Polianthes	geminiflora	4.20	Zonneveld et al., 2005 (Ref. 466)	2005b
Agave	chrysantha	4.20	Zonneveld, 2003 (Ref. 482)	2011
Miscanthus	sacchariflorus	4.20	Nishiwaki et al., 2011 (Ref. 691)	2012
Phelipanche	cf. gratiosa	4.21	Weiss-Schneeweiss et al., 2005 (Ref. 531)	2011
Hieracium	kittanae	4.21	Chrtek et al., 2009 (Ref. 641)	2012
Hieracium	gymnocephalum	4.22	Chrtek et al., 2009 (Ref. 641)	2012
Poa	pratensis	4.24	Arumuganathan et al., 1999 (Ref. 417)	2005a
Tradescantia	crassula	4.25	Martínez and Ginzo, 1985 (Ref. 181)	1995
Tricyrtis	macropoda	4.25	Bharathan et al., 1994 (Ref. 272)	1997
Aeonium	nobile	4.25	Zonneveld et al., 2005 (Ref. 466)	2005b
Senecio	fulgens	4.25	Zonneveld et al., 2005 (Ref. 466)	2005b
Agave	mitis	4.25	Zonneveld, 2003 (Ref. 482)	2011
Agave	titanota	4.25	Zonneveld, 2003 (Ref. 482)	2011
Artemisia	glacialis	4.26	Garcia et al., 2004 (Ref. 521)	2011
Anthurium	watermaliense	4.26	Bliss & Suzuki, 2012 (Ref. 673)	2012
Artemisia	cana	4.27	Garcia et al., 2004 (Ref. 521)	2011
Hieracium	umbellatum	4.27	Chrtek et al., 2009 (Ref. 641)	2012
Phalaris	californica	4.28	Kadir, 1974 (Ref. 26)	1976
Armeria	maritima	4.28	Marie and Brown, 1993 (Ref. 290)	1997
Luzula	elegans (originally listed as L. purpurea)	4.28	Barlow and Nevin, 1976 (Ref. 36)	1976
Ranunculus	oreophilus	4.28	Goepfert, 1974 (Ref. 44)	1976
Festuca	arundinacea	4.28	Seal, 1979 (Ref. 72)	1982
Hieracium	eriophorum	4.28	Chrtek et al., 2009 (Ref. 641)	2012
Hieracium	echioides	4.28	Suda et al., 2007 (Ref. 569)	2011
Hieracium	transylvanicum	4.28	Chrtek et al., 2009 (Ref. 641)	2012
Cerastium	malyi	4.29	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Hieracium	plumulosum	4.30	Chrtek et al., 2009 (Ref. 641)	2012
Trichocentrum	panamense	4.30	Albert et al., 1992 (Ref. 198)	1995
Saccharum	robustum	4.30	Bennett and Smith, 1976 (Ref. 2)	1976
Cattleya	walkeriana	4.30	Jones et al., 1998 (Ref. 307)	2000
Odontoglossum	spectatissimum	4.30	Hanson et al., 1999 (Ref. 377)	2000
Scilla	nana	4.30	Greilhuber, 1979 (Ref. 89)	1982
Muscari	armeniacum	4.30	Zonneveld et al., 2005 (Ref. 466)	2005b
Agave	margaritae	4.30	Zonneveld, 2003 (Ref. 482)	2011
Echinops	humilis	4.31	Garnatje et al., 2004 (Ref. 502)	2011
Hieracium	pilosella	4.31	Suda et al., 2007 (Ref. 569)	2011
Hordeum	pubiflorum	4.32	Jakob et al., 2004 (Ref. 491)	2011
Ramonda	serbica	4.32	Siljak-Yakovlev et al., 2008 (Ref. 669)	2012
Agrostis	himalayana	4.33	Bennett and Smith, 1987 (Ref. 164)	1995
Nicotiana	raimondii	4.33	Narayan, 1987 (Ref. 199)	1995
Saccharum	sinense	4.33	Arumuganathan and Earle, 1991 (Ref. 227)	1995
Andropogon	gerardii	4.33	Keeler, 1992 (Ref. 367)	2000
Honckenya	peploides	4.33	Kapralov et al., 2009 (Ref. 684)	2012
Cephalaria	alpina	4.33	Temsch and Greilhuber, 2010 (Ref. 652)	2012
Crocus	biflorus	4.34	Brandizzi et al., 1996 (Ref. 419)	2005a
Crocus	thomasii	4.35	Brandizzi et al., 1996 (Ref. 419)	2005a
Sarracenia	flava	4.35	Hanson et al., 2005 (Ref. 612)	2011
Senecio	anethifolius	4.35	Lawrence, 1985 (Ref. 114)	1991
Limonium	perezii	4.35	Morgan et al., 1998 (Ref. 316)	2000
Sarcandra	glabra	4.35	Morawetz and Samuel, 1998 (Ref. 341)	2000
Cymbidium	pumilum	4.35	Nagl and Capesius, 1977 (Ref. 60)	1982
Pulsatilla	nuttalliana	4.35	Rothfels et al., 1966 (Ref. 8)	1976
Tigridia	pavonia?	4.35	Zonneveld et al., 2005 (Ref. 466)	2005b
Artemisia	bargusinensis	4.35	Pellicer et al., 2007 (Ref. 553)	2011
Crepis	viscidula	4.37	Dimitrova and Greilhuber, 2000 (Ref. 394)	2005a
Festuca	ampla	4.37	Loureiro et al., 2007 (Ref. 582)	2011
Eleocharis	vigens	4.37	Zedek et al., 2010 (Ref. 632)	2012
Hesperoxiphion	huilense	4.38	Kenton et al., 1990 (Ref. 268)	1995
Trichoceros	antennifera	4.38	Hanson et al., 1999 (Ref. 377)	2000
Artemisia	ledeebouriana	4.38	Pellicer et al., 2007 (Ref. 553)	2011
Tripleurospermum	oreades	4.38	Garcia et al., 2005 (Ref. 525)	2011
Virga	strigosa	4.38	Kubesová et al., 2010 (Ref. 630)	2012
Anthurium	formosum	4.39	Bliss & Suzuki, 2012 (Ref. 673)	2012
Artemisia	monostachya	4.39	Pellicer et al., 2007 (Ref. 553)	2011
Sorghum	nitidum	4.40	Price et al., 2005 (Ref. 511)	2011
Anthurium	esmeraldense	4.40	Bliss & Suzuki, 2012 (Ref. 673)	2012
Bougainvillea	spectabilis	4.40	Ohri and Khoshoo, 1982 (Ref. 134)	1991
Agave	avellaridens	4.40	Bennett and Smith, 1987 (Ref. 164)	1995
Agave	perigrina	4.40	Banerjee and Sharma, 1987 (Ref. 222)	1995
Agave	tequilana	4.40	Banerjee and Sharma, 1987 (Ref. 222)	1995
Withania	somnifera	4.40	Bahl and Srivastava, 1987 (Ref. 236)	1995
Vanda	cristata	4.40	Narayan et al., 1989 (Ref. 250)	1995
Dactylis	glomerata	4.40	Creber et al., 1994 (Ref. 275)	1997
Dactylis	glomerata	4.40	Horjales et al., 1995 (Ref. 314)	2000
Rumex	crispus	4.40	Conger, 1977 (Ref. 64)	1982
Scilla	sardensis	4.40	Greilhuber, 1979 (Ref. 89)	1982
Agave	parryi	4.40	Zonneveld, 2003 (Ref. 482)	2011
Dahlia	sorensenii	4.40	Temsch et al., 2008 (Ref. 597)	2011
Artemisia	depauperata	4.41	Pellicer et al., 2007 (Ref. 553)	2011
Trollius	europaeus	4.42	Zonneveld et al., 2005 (Ref. 466)	2005b
Phelipanche	purpurea	4.42	Weiss-Schneeweiss et al., 2005 (Ref. 531)	2011
Hordeum	flexuosum	4.43	Vogel et al., 1999 (Ref. 343)	2000
Hordeum	haplophilum	4.43	Vogel et al., 1999 (Ref. 343)	2000
Anthurium	warocqueanum	4.43	Bliss & Suzuki, 2012 (Ref. 673)	2012
Fallopia	sachalinensis	4.44	Suda et al., 2010 (Ref. 637)	2012
Phelipanche	portoilicitana	4.44	Weiss-Schneeweiss et al., 2005 (Ref. 531)	2011
Festuca	alpestris	4.45	Smarda et al., 2008 (Ref. 555)	2011
Coelogyne	flaccida	4.45	Narayan et al., 1989 (Ref. 250)	1995
Chamaedorea	pinnatifrons	4.45	Röser et al., 1997 (Ref. 271)	1997
Ranunculus	acris	4.45	Goepfert, 1974 (Ref. 44)	1976
Lewisia	nevadensis	4.45	Zonneveld et al., 2005 (Ref. 466)	2005b
Polianthes	x brundrantii	4.45	Zonneveld et al., 2005 (Ref. 466)	2005b
Ornithogalum	oligophyllum	4.45	Zonneveld et al., 2005 (Ref. 466)	2005b
Phelipanche	lavandulacea	4.47	Weiss-Schneeweiss et al., 2005 (Ref. 531)	2011
Colchicum	cupanii	4.47	Vesely et al., 2011 (Ref. 675)	2012
Festuca	altissima	4.47	Smarda et al., 2008 (Ref. 555)	2011
Phelipanche	coelestis	4.47	Weiss-Schneeweiss et al., 2005 (Ref. 531)	2011
Iris	sibirica	4.47	Vesely et al., 2011 (Ref. 675)	2012
Senecio	hypoleucus	4.48	Lawrence, 1985 (Ref. 114)	1991
Scilla	autumnalis	4.48	Ainsworth et al., 1984 (Ref. 163)	1991
Nicotiana	carodifolia	4.48	Narayan, 1987 (Ref. 199)	1995
Hieracium	bauhini	4.48	Bräutigam and Bräutigam, 1996 (Ref. 352)	2000
Oncidium	baueri	4.48	Hanson et al., 1999 (Ref. 377)	2000
Gloriosa	superba	4.48	Vesely et al., 2011 (Ref. 675)	2012
Senecio	linearifolius	4.50	Lawrence, 1985 (Ref. 114)	1991
Hieracium	piloselliflorum	4.50	Suda et al., 2007 (Ref. 569)	2011
Artemisia	pycnorhiza	4.51	Pellicer et al., 2007 (Ref. 553)	2011
Agave	colorata	4.53	Bennett et al., 1976 (Ref. 108)	1991
Senecio	odoratus	4.53	Lawrence, 1985 (Ref. 114)	1991
Briza	poaemorpha	4.53	Schifino and Winge, 1983 (Ref. 117)	1991
Stachys	officinalis	4.53	Band, 1984 (Ref. 154)	1991
Nicotiana	benavidesii	4.53	Narayan, 1987 (Ref. 199)	1995
Hieracium	caespitosum	4.53	Bräutigam and Bräutigam, 1996 (Ref. 352)	2000
Artemisia	macilenta	4.53	Pellicer et al., 2007 (Ref. 553)	2011
Arum	cylindraceum	4.53	Vesely et al., 2011 (Ref. 675)	2012
Magnolia	grandiflora	4.53	Horjales et al., 2003 (Ref. 489)	2011
Lathyrus	pratensis	4.54	Vidic et al., 2009 (Ref. 628)	2012
Festuca	arvernensis	4.55	Smarda et al., 2008 (Ref. 555)	2011
Socratea	exorrhiza	4.55	Röser et al., 1997 (Ref. 271)	1997
Pseudoroegneria	spicata	4.55	Vogel et al., 1999 (Ref. 343)	2000
Sesleria	caerulea	4.55	Lysák and Dolezel, 1998 (Ref. 370)	2000
Senecio	implexus	4.55	Zonneveld et al., 2005 (Ref. 466)	2005b
Pulsatilla	apiifolia	4.55	Zonneveld et al., 2005 (Ref. 466)	2005b
Hordeum	patagonicum	4.58	Jakob et al., 2004 (Ref. 491)	2011
Anthurium	clidemioides	4.59	Bliss & Suzuki, 2012 (Ref. 673)	2012
Echinops	hedgei	4.59	Garnatje et al., 2004 (Ref. 502)	2011
Hieracium	schultesii	4.59	Suda et al., 2007 (Ref. 569)	2011
Hordeum	cordobense	4.60	Jakob et al., 2004 (Ref. 491)	2011
Trichocentrum	capistratum	4.60	Albert et al., 1992 (Ref. 198)	1995
Mammillaria	boolii	4.60	Das and Mohanty, 1997 (Ref. 334)	2000
Oncidium	endocharis	4.60	Hanson et al., 1999 (Ref. 377)	2000
Pulsatilla	patens	4.60	Rothfels et al., 1966 (Ref. 8)	1976
Senecio	herreianus	4.60	Zonneveld et al., 2005 (Ref. 466)	2005b
Artemisia	arbuscula	4.61	Garcia et al., 2004 (Ref. 521)	2011
Oxytropis	halleri	4.61	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Hieracium	bifurcum	4.62	Suda et al., 2007 (Ref. 569)	2011
Phelipanche	cf. coelestis	4.62	Weiss-Schneeweiss et al., 2005 (Ref. 531)	2011
Callitriche	antarctica	4.63	Bennett MD, Smith JB, Lewis Smith RI., 1982 (Ref. 105)	1982
Dendrophthoe	homoplastica	4.63	Martin., 1983 (Ref. 109)	1991
Bowiea	volubilis	4.63	Bennett and Smith, 1976 (Ref. 2)	1976
Hordeum	comosum	4.63	Vogel et al., 1999 (Ref. 343)	2000
Sesleria	albicans	4.63	Lysák and Dolezel, 1998 (Ref. 370)	2000
